UTC,F,day_fraction,f,longitude,latitude,mission,URL
2022-11-15 20:58:38.680,0.748,0.87405,243712,-149.46,-27.16,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-15 09:46:15.626,0.814,0.40712,267392,21.56,-41.98,CALET,http://cgbm.calet.jp/cgbm_trigger/flight/
2022-11-15 09:03:18.700,0.755,0.37729,246144,-151.19,23.66,INTEGRAL ISGRI GCN,https://gcn.gsfc.nasa.gov/integral_grbs.html
2022-11-15 05:41:21.920,0.474,0.23705,145024,-88.3,64.13,INTEGRAL ISGRI GCN,https://gcn.gsfc.nasa.gov/integral_grbs.html
2022-11-15 02:50:12.470,0.236,0.11819,59392,-62.46,-9.49,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-15 00:25:28.800,0.035,0.01769,-13056,154.49,3.7,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-14 21:03:04.180,0.754,0.87713,245888,-148.25,-39.3,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-14 20:07:32.000,0.677,0.83856,218112,57.76,67.32,GECAM GRB,https://www.swift.psu.edu/guano/
2022-11-14 16:43:54.830,0.394,0.69715,116224,-104.55,63.0,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-14 15:19:37.438,0.277,0.63862,74112,135.75,72.33,CALET,http://cgbm.calet.jp/cgbm_trigger/flight/
2022-11-14 14:46:38.840,0.231,0.61572,57600,-57.79,-18.55,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-14 12:58:31.610,0.081,0.54064,3584,-16.68,-65.34,FERMI GCN,https://gcn.gsfc.nasa.gov/fermi_grbs.html
2022-11-13 12:49:59.976,0.069,0.53471,-768,139.05,-52.4,KONUS,https://gcn.gsfc.nasa.gov/konus_grbs.html
